teamLoc,teamPTS,teamAST,teamTO,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamPTS1,teamPTS2,teamRslt
0,99,24,12,11,4,24,88,36,0.4091,56,28,0.5,32,8,0.25,25,19,0.76,9,37,19,19,0
1,102,19,17,3,4,25,83,38,0.4578,61,33,0.541,22,5,0.2273,25,21,0.84,9,41,29,25,1
0,122,28,13,9,5,16,97,47,0.4845,56,32,0.5714,41,15,0.3659,19,13,0.6842,10,33,34,28,1
1,121,34,17,5,9,25,80,43,0.5375,50,27,0.54,30,16,0.5333,21,19,0.9048,6,35,35,36,0
0,90,16,17,4,3,15,73,29,0.3973,43,20,0.4651,30,9,0.3,29,23,0.7931,3,44,27,18,0
1,102,24,9,14,3,21,96,41,0.4271,70,32,0.4571,26,9,0.3462,12,11,0.9167,9,38,29,27,1
0,131,22,20,7,2,25,94,45,0.4787,64,33,0.5156,30,12,0.4,32,29,0.9063,11,32,30,33,0
1,140,29,14,12,9,25,102,53,0.5196,68,44,0.6471,34,9,0.2647,32,25,0.7813,14,33,29,36,1
0,109,27,13,6,4,20,102,44,0.4314,72,36,0.5,30,8,0.2667,17,13,0.7647,11,33,37,18,0
1,116,22,15,8,10,18,90,43,0.4778,69,35,0.5072,21,8,0.381,29,22,0.7586,11,40,32,26,1
0,115,25,17,6,6,28,94,43,0.4574,59,28,0.4746,35,15,0.4286,19,14,0.7368,11,37,23,36,0
1,120,21,10,8,10,20,97,42,0.433,75,36,0.48,22,6,0.2727,38,30,0.7895,16,36,32,24,1
0,108,19,15,6,4,22,76,38,0.5,55,31,0.5636,21,7,0.3333,30,25,0.8333,6,39,24,34,1
1,100,23,15,12,2,27,91,39,0.4286,63,28,0.4444,28,11,0.3929,21,11,0.5238,11,32,26,27,0
0,91,15,19,4,12,31,79,30,0.3797,54,23,0.4259,25,7,0.28,29,24,0.8276,16,35,34,18,0
1,103,19,12,9,8,29,92,39,0.4239,63,30,0.4762,29,9,0.3103,28,16,0.5714,15,30,27,27,1
0,117,20,13,11,6,18,94,48,0.5106,76,39,0.5132,18,9,0.5,15,12,0.8,14,36,27,31,1
1,111,27,16,5,4,19,86,38,0.4419,41,21,0.5122,45,17,0.3778,21,18,0.8571,9,32,24,23,0
0,96,21,22,4,3,18,77,36,0.4675,50,23,0.46,27,13,0.4815,12,11,0.9167,7,31,30,28,0
1,106,28,15,9,5,18,81,41,0.5062,57,32,0.5614,24,9,0.375,16,15,0.9375,6,30,21,28,1
0,99,23,13,7,4,16,85,37,0.4353,66,29,0.4394,19,8,0.4211,23,17,0.7391,11,31,25,24,0
1,107,22,11,8,11,18,89,41,0.4607,68,33,0.4853,21,8,0.381,19,17,0.8947,12,38,32,21,1
